"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1980-01-01,300
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1981-01-01,135
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1982-01-01,180
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1983-01-01,290
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1984-01-01,660
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1985-01-01,350
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1986-01-01,320
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1987-01-01,345
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1988-01-01,450
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1989-01-01,490
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1992-01-01,300
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1993-01-01,400
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1994-01-01,350
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1995-01-01,500
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1996-01-01,400
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1997-01-01,1000
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1998-01-01,3300
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",1999-01-01,3000
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",2000-01-01,700
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",2023-01-01,450
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10042","CAPAYAN",2024-01-01,450
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10049","CAPITAL",1972-01-01,4
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10049","CAPITAL",1978-01-01,24
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10049","CAPITAL",1984-01-01,20
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10056","EL ALTO",1972-01-01,1
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10056","EL ALTO",1973-01-01,10
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10056","EL ALTO",1977-01-01,2
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10056","EL ALTO",1978-01-01,15
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10056","EL ALTO",1979-01-01,12
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10056","EL ALTO",1993-01-01,500
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10056","EL ALTO",1994-01-01,450
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10056","EL ALTO",1995-01-01,100
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10056","EL ALTO",1996-01-01,500
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10056","EL ALTO",1997-01-01,500
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1970-01-01,2
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1971-01-01,1
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1974-01-01,6
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1975-01-01,40
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1976-01-01,12
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1977-01-01,20
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1978-01-01,95
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1979-01-01,56
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1980-01-01,40
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1982-01-01,20
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1983-01-01,35
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1984-01-01,150
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1985-01-01,70
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1986-01-01,80
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1987-01-01,80
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1988-01-01,150
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10063","FRAY MAMERTO ESQUIU",1989-01-01,195
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10070","LA PAZ",1971-01-01,2
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10070","LA PAZ",1977-01-01,60
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10070","LA PAZ",1978-01-01,137
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10070","LA PAZ",1979-01-01,78
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10070","LA PAZ",1980-01-01,40
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10077","PACLIN",1971-01-01,6
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10077","PACLIN",1974-01-01,0
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10077","PACLIN",1975-01-01,7
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10077","PACLIN",1977-01-01,15
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10077","PACLIN",1978-01-01,17
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10077","PACLIN",1979-01-01,13
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10084","POMAN",1970-01-01,3
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10084","POMAN",1977-01-01,6
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10098","SANTA ROSA",1971-01-01,19
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10098","SANTA ROSA",1972-01-01,1
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10098","SANTA ROSA",1973-01-01,5
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10098","SANTA ROSA",1974-01-01,5
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10098","SANTA ROSA",1975-01-01,20
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10098","SANTA ROSA",1976-01-01,2
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10098","SANTA ROSA",1977-01-01,8
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10098","SANTA ROSA",1978-01-01,22
28,"Algodonera - textil",694,"Algodón","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","10098","SANTA ROSA",1979-01-01,17
